Aquarium,Treatment,BarnacleEaten,DaysExperiment,BarnacleEatenPerDay,Movement,MovementPerDay
1,16C,2,21,0.095238095,1,0.0625
2,26C,2,21,0.095238095,11,0.6875
3,16C,0,21,0,4,0.25
4,16C,0,21,0,1,0.0625
6,16C,0,21,0,2,0.125
8,16C,2,21,0.095238095,3,0.1875
10,26C,5,21,0.238095238,13,0.8125
13,26C,3,21,0.142857143,17,1.0625
14,16C,0,21,0,3,0.1875
15,26C,1,21,0.047619048,8,0.5
16,16C,0,21,0,5,0.3125
17,26C,0,21,0,9,0.5625
18,26C,2,21,0.095238095,15,0.9375
19,16C,0,21,0,1,0.0625
20,26C,4,21,0.19047619,15,0.9375
21,28C,5,15,0.333333333,11,0.733333333
22,21C,0,15,0,10,0.666666667
23,21C,0,15,0,16,1.066666667
24,28C,7,15,0.466666667,9,0.6
25,21C,4,15,0.266666667,8,0.533333333
26,21C,5,15,0.333333333,10,0.666666667
27,28C,0,15,0,13,0.866666667
28,28C,0,15,0,9,0.6
29,21C,6,15,0.4,10,0.666666667
30,28C,0,15,0,11,0.733333333
31,28C,1,15,0.066666667,13,0.866666667
32,21C,5,15,0.333333333,15,1
